meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_cases	n_cases_exp	n_cases_nexp	time	time_exp	time_nexp
Pham	Smoking	el-Sami	2005	IRR	2.3963963963964	1.89612514235354	3.02865858396539	301	190	111	16.8	7	9.8
Pham	Smoking	el-Hashim	2007	IRR	2.35068493150685	1.84712999254894	2.99151639002307	295	195	100	16.1	7.3	8.8
Pham	Smoking	Flores	2006	IRR	1.21133603238866	0.879121655424249	1.66909206969199	153	88	65	10.8	5.7	5.1
Pham	Smoking	Rosales	2001	IRR	1.02813852813853	0.734523862069753	1.43912116083504	136	70	66	19.3	9.8	9.5
Pham	Smoking	Linan	2009	IRR	4.21590909090909	3.32823213425865	5.34033947928604	297	189	108	15	4.4	10.6
Pham	Smoking	Schindler	2005	IRR	1.89529379003063	1.40281009226929	2.56067344419926	223	166	57	10.4	6.3	4.1
Pham	Smoking	Rice	2002	IRR	1.50108527131783	1.11479207358749	2.02123521072065	178	103	75	18	8.6	9.4
Pham	Smoking	Vigil-Martinez	2005	IRR	3.71194762684124	2.48981100655648	5.53397633319514	102	63	39	15.5	4.7	10.8
Pham	Smoking	Esch	2003	IRR	1.40215053763441	1.07872458932288	1.82254687586435	248	163	85	16.1	9.3	6.8
Pham	Smoking	Song	2004	IRR	1.44642857142857	1.1189948167378	1.86967408691325	242	144	98	12.7	6.4	6.3
Pham	Smoking	Cuevas	2010	IRR	1.18620689655172	0.894403359670912	1.57321278616909	195	108	87	8.8	4.5	4.3
Pham	Smoking	Rincon	2002	IRR	2.67741935483871	1.96525140409321	3.64766278081994	219	166	53	11.5	6.2	5.3
Pham	Smoking	Smith	2003	IRR	1.31882247992864	1.0486150537083	1.65865703283042	310	192	118	17.2	9.5	7.7
Pham	Smoking	Reed	2000	IRR	2.80638409209838	2.19042361659778	3.5955564086803	271	173	98	10.1	3.9	6.2
Pham	Smoking	Bia Jr	2008	IRR	1.43859649122807	1.09318744792257	1.89314272543706	210	123	87	11.5	5.7	5.8
Pham	Smoking	Walker	2002	IRR	3.388	2.57090111516389	4.46479404917458	229	154	75	10.6	4	6.6
