meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_cases_exp	n_cases_nexp	n_controls_exp	n_controls_nexp	multiple_es
el-Can	n-3 fatty acids	Lucero	1991	OR	1.77611940298507	0.954893532849581	3.30361451317629	26	26	67	119	
el-Can	n-3 fatty acids	Hastings	2018	OR	1.80124223602484	1.19600404039684	2.71276139816656	75	63	115	174	
el-Can	n-3 fatty acids	Godebu	1985	OR	0.644230769230769	0.409602462058	1.01325876299274	67	52	156	78	outcomes
el-Can	n-3 fatty acids	Godebu	1985	OR	0.763500931098696	0.452701610333203	1.28767748663301	82	30	179	50	outcomes
el-Can	n-3 fatty acids	Godebu	1985	OR	1.56487025948104	0.919880293852417	2.66210608638294	98	24	167	64	outcomes
el-Can	n-3 fatty acids	Jama	2015	OR	0.663679245283019	0.394986266188773	1.11515305296445	42	53	80	67	
el-Can	n-3 fatty acids	Deel	2013	OR	0.798533872598584	0.540189981517117	1.18042978860223	81	86	138	117	
el-Can	n-3 fatty acids	Olson	2015	OR	3.39622641509434	1.7996923894216	6.40906964455828	40	20	53	90	
el-Can	n-3 fatty acids	Blase	2002	OR	1.15491998638066	0.820789228911644	1.62507027134135	106	99	178	192	outcomes
el-Can	n-3 fatty acids	Blase	2002	OR	1.1445652173913	0.829015430848651	1.58022334460161	117	115	192	216	outcomes
el-Can	n-3 fatty acids	Schwalger	1994	OR	1.12998647734956	0.799512529871983	1.59705994751242	105	87	204	191	
el-Can	n-3 fatty acids	el-Mohamed	2016	OR	0.88846071505031	0.60790693296714	1.29849225165915	75	81	173	166	
el-Can	n-3 fatty acids	al-Jabara	2008	OR	0.716292134831461	0.47772874269366	1.07398692305691	75	89	120	102	groups
el-Can	n-3 fatty acids	al-Jabara	2008	OR	0.623594356982212	0.406702449001869	0.956153381948953	61	73	134	100	groups
el-Can	n-3 fatty acids	Rivera	2000	OR	0.978043912175649	0.681508365049177	1.40360697417826	98	90	167	150	outcomes
el-Can	n-3 fatty acids	Rivera	2000	OR	0.586425339366516	0.402847959831061	0.853658732181118	108	80	221	96	outcomes
el-Can	n-3 fatty acids	Rivera	2000	OR	0.871116816431322	0.604896985001073	1.25450205024265	116	82	190	117	outcomes
Bown	Protein	Houston	2003	OR	1.38915510718789	0.859154793116941	2.24610504100807	54	65	61	102	
Bown	Protein	Lesjak	2013	OR	0.602556299452222	0.422728401931759	0.858882659292352	110	124	159	108	
Bown	Protein	Jones	1988	OR	1.33075268817204	0.903215925683277	1.96066374243506	91	93	100	136	groups
Bown	Protein	Jones	1988	OR	1.38383838383838	0.939038210671944	2.03932987052158	92	92	99	137	groups
Bown	Protein	Jones	1988	OR	1.43911190849966	0.976290407092579	2.12133917340555	93	91	98	138	groups
Bown	Protein	Smith	1985	OR	1.36990595611285	0.683548028279614	2.74544326214603	23	33	29	57	
Bown	Protein	Dragozov	1999	OR	1.38508891928865	0.898814349782364	2.13444669057712	81	86	68	100	outcomes
Bown	Protein	Dragozov	1999	OR	1.45425812115891	0.943252754976373	2.24209966183414	82	85	67	101	outcomes
Bown	Protein	Dragozov	1999	OR	1.74725705329154	1.12824526278308	2.70588967752128	91	88	58	98	outcomes
Bown	Protein	Dragozov	1999	OR	1.15447154471545	0.749041761016898	1.77934611515953	71	82	78	104	outcomes
el-Abood	Carbohydrates	Dawlatzai	2019	OR	1.68331846565566	1.06828635776161	2.6524358719272	68	76	59	111	
el-Abood	Carbohydrates	White	1988	OR	0.842741935483871	0.53155670051386	1.33610199840681	57	64	93	88	
el-Abood	Carbohydrates	el-Samaan	2012	OR	0.76484375	0.503152666178947	1.16264108537191	77	80	112	89	outcomes
el-Abood	Carbohydrates	el-Samaan	2012	OR	0.800547382825864	0.526767609673264	1.2166201952828	78	79	111	90	outcomes
el-Abood	Carbohydrates	el-Samaan	2012	OR	0.837878787878788	0.551433768460107	1.27311910030047	79	78	110	91	outcomes
el-Abood	Carbohydrates	Mudick	1987	OR	1.18242122719735	0.71997753476656	1.94189386614708	62	67	54	69	
el-Abood	Carbohydrates	Johnson	1998	OR	1.31454388984509	0.891275641249563	1.93882291667524	94	112	83	130	outcomes
el-Abood	Carbohydrates	Johnson	1998	OR	1.42222222222222	0.963703590463625	2.098898530003	96	110	81	132	outcomes
el-Abood	Carbohydrates	Wood-Solis	2008	OR	1.10112359550562	0.742913985335524	1.63205054220594	98	106	89	106	outcomes
el-Abood	Carbohydrates	Wood-Solis	2008	OR	1.0927606585057	0.737376119873308	1.6194257239887	95	103	92	109	outcomes
el-Abood	Carbohydrates	Kochhar	2011	OR	1.49066091954023	0.987961318270968	2.24914673879477	83	87	80	125	
el-Abood	Carbohydrates	Taase	1993	OR	0.710207336523126	0.44705881545777	1.12825078806419	61	66	95	73	outcomes
el-Abood	Carbohydrates	Taase	1993	OR	0.7073055028463	0.445887408109247	1.12198968900706	63	68	93	71	outcomes
el-Abood	Carbohydrates	al-Zamani	1986	OR	0.954022988505747	0.647674971162808	1.4052725566396	83	87	129	129	
el-Abood	Carbohydrates	Byambatsogt	2006	OR	0.788888888888889	0.507815207385058	1.22553572630692	71	90	79	79	
el-Abood	Carbohydrates	Tyndall	1994	OR	1.52537722908093	1.0346912758116	2.24876322570085	96	108	81	139	
el-Abood	Carbohydrates	Pavlis	2002	OR	0.814997754827122	0.559545773402994	1.18707239326221	90	102	131	121	
el-Abood	Carbohydrates	Martinez	2005	OR	1.61825293350717	1.0055994797172	2.60416061227578	58	65	59	107	outcomes
el-Abood	Carbohydrates	Martinez	2005	OR	1.6496465043205	1.02619070478049	2.6518790089791	60	67	57	105	outcomes
el-Abood	Carbohydrates	Nguyen	1998	OR	1.18816032198558	0.76413673551064	1.84747687833314	65	67	89	109	outcomes
el-Abood	Carbohydrates	Nguyen	1998	OR	1.19423621522572	0.769593724670509	1.85318576807167	67	69	87	107	outcomes
el-Abood	Carbohydrates	Milligan	1998	OR	0.810117302052786	0.551539232058828	1.18992449664085	85	99	124	117	
el-Abood	Carbohydrates	Harper	2011	OR	0.628395936687928	0.406668635944851	0.971015264868987	70	83	102	76	
