meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_cases	n_controls	n_exp	n_nexp	n_cases_exp	n_cases_nexp	n_controls_exp	n_controls_nexp
Garcia	ADHD	Marrs	2009	OR	1.16989966555184	0.656490359832201	2.08482151635576	148	132	59	221	33	115	26	106
Garcia	ADHD	Kang	2010	OR	4.28235294117647	2.05305396505665	8.93232570839743	58	95	45	108	28	30	17	78
Garcia	ADHD	Smith	2003	OR	3.25992063492064	1.71612068915172	6.19250301750883	73	130	55	148	31	42	24	106
Garcia	ADHD	Salser	1998	OR	1.58892128279883	0.816710953779303	3.09126604859193	69	137	48	158	20	49	28	109
Garcia	ADHD	Nieto	1995	OR	1.7906976744186	0.922203617770518	3.47710429603425	65	126	50	141	22	43	28	98
Garcia	ADHD	Bean	1995	OR	3.78622087132725	2.00124529375214	7.1632740530255	84	122	58	148	37	47	21	101
Garcia	ADHD	Long	1988	OR	2.21621621621622	1.15202565925756	4.26345913179145	115	85	58	142	41	74	17	68
Garcia	ADHD	Avila	2019	OR	0.956896551724138	0.541656532500581	1.6904642624255	146	141	60	227	30	116	30	111
Garcia	ADHD	Holmes	1997	OR	1.31038647342995	0.700571310865962	2.45101773811676	107	85	58	134	35	72	23	62
Garcia	ADHD	Barraza	1997	OR	1.78439153439153	0.852313640766554	3.73577635709843	55	92	40	107	19	36	21	71
Garcia	ASD	Guerrero	2012	OR	0.697660098522167	0.377042823429572	1.29091334677234	134	132	51	215	22	112	29	103
Garcia	ASD	Reilly	1989	OR	0.544547872340425	0.285586397157994	1.03832811443899	112	123	50	185	18	94	32	91
Garcia	ASD	Mason	1985	OR	1.72865853658537	0.86990769042993	3.43514647471686	110	97	44	163	28	82	16	81
Garcia	ASD	al-Sharifi	2017	OR	0.401687454145268	0.200610029065067	0.804310789294452	109	102	44	167	15	94	29	73
Garcia	ASD	Norris	1992	OR	1.55462686567164	0.838837148927352	2.88120846168837	98	109	56	151	31	67	25	84
Garcia	ASD	Romero	1993	OR	2.53846153846154	1.34003067530677	4.80868617486938	76	92	64	104	38	38	26	66
Garcia	ASD	al-Siddiqi	2014	OR	1.10732714138287	0.574880224536006	2.1329197730411	151	75	54	172	37	114	17	58
Garcia	ASD	Cung	2006	OR	1.53417334860634	0.87540932416362	2.68867122911072	138	125	68	195	41	97	27	98
Garcia	ASD	Moore	2006	OR	0.773809523809524	0.405610487758089	1.47624678653635	104	119	48	175	20	84	28	91
Garcia	ASD	Alexander	2002	OR	4.72686733556299	2.51567397614551	8.88162576704256	79	129	63	145	40	39	23	106
Garcia	ASD	el-Nasser	1989	OR	1.48523206751055	0.823836699696595	2.67761110323692	112	123	60	175	33	79	27	96
Garcia	ASD	Chong	2015	OR	1.33463287849253	0.684425960345063	2.60253851191619	107	98	45	160	26	81	19	79
Garcia	ASD	Schmidt	2000	OR	3.90977443609023	2.04684060965453	7.46825916439322	89	110	59	140	40	49	19	91
Garcia	ASD	Gutierrez	1996	OR	0.564425770308123	0.303586155177195	1.0493773999739	128	90	54	164	26	102	28	62
Garcia	ASD	Hughes	1994	OR	1.03034420289855	0.546146208806278	1.94381863195028	121	114	48	187	25	96	23	91
Garcia	ASD	Ziolo	2008	OR	2.91737891737892	1.54891991689444	5.49486106720844	71	123	59	135	32	39	27	96
Garcia	ASD	Martinez	2014	OR	0.65393047290949	0.345309402245454	1.23838233369523	121	147	49	219	18	103	31	116
Garcia	ASD	Finch	2011	OR	2.07666666666667	1.10660822696324	3.89708330316587	110	109	55	164	35	75	20	89
Garcia	dyslexia	Burris	1997	OR	1.33215755437978	0.699394349636487	2.53740075339969	85	130	49	166	22	63	27	103
Garcia	dyslexia	Macharia	1986	OR	2.03389830508475	1.06609109919684	3.88028970370646	99	80	60	119	40	59	20	60
Garcia	dyslexia	el-Islam	2006	OR	1.88172043010753	0.96068342444096	3.68578418967159	57	131	52	136	21	36	31	100
Garcia	dyslexia	Pelton	2013	OR	2.6394344069128	1.39207629923571	5.00447711969525	102	115	54	163	35	67	19	96
Garcia	dyslexia	Balogh	2012	OR	1.4429012345679	0.726749026333946	2.86476334646082	115	71	50	136	34	81	16	55
Garcia	dyslexia	Jackson	2006	OR	1.05219941348974	0.608947908090419	1.81809246905854	149	123	70	202	39	110	31	92
Garcia	dyslexia	Williams	2015	OR	1.19273984442524	0.664250607628354	2.1417042305146	129	95	66	158	40	89	26	69
Garcia	ID	Leiva	1986	OR	1.81818181818182	0.952170882534833	3.47184017554329	92	74	62	104	40	52	22	52
Garcia	ID	al-Barakat	1997	OR	1.24621899576528	0.720971482645189	2.15412373830397	154	132	69	217	40	114	29	103
Garcia	ID	Reed	1999	OR	2.99107142857143	1.57590478581951	5.6770614388127	72	95	68	99	40	32	28	67
Garcia	ID	el-Awan	1988	OR	1.89063948100093	1.05616446871982	3.38443277821316	117	146	60	203	34	83	26	120
Garcia	ID	Weber	2004	OR	1.17857142857143	0.66948482974439	2.07477533549973	149	144	61	232	33	116	28	116
Garcia	ID	el-Saade	2015	OR	2.16103603603604	1.13573981263104	4.11192484150724	149	117	54	212	38	111	16	101
Garcia	ID	al-Arafat	1986	OR	1.25811965811966	0.664006257442624	2.38381047829794	88	123	50	161	23	65	27	96
Garcia	ID	Bell	1988	OR	1.44312692138779	0.788074755057859	2.64266213055042	130	129	54	205	31	99	23	106
Garcia	ID	Lutz	2004	OR	0.821382007822686	0.410479341819408	1.64361110058408	77	96	44	129	18	59	26	70
Garcia	ID	Mecillas	1992	OR	1.9015479876161	0.997283934152405	3.62573247736111	132	100	54	178	37	95	17	83
Garcia	ID	Deaderick	2003	OR	2.725	1.36078620363094	5.4568638190088	91	125	42	174	26	65	16	109
Garcia	ID	Phagura	1989	OR	1.8695652173913	0.857029377492998	4.07835973173271	62	102	32	132	16	46	16	86
Garcia	ID	Sargent	2016	OR	0.63768115942029	0.32643960826322	1.24567378095773	112	83	45	150	22	90	23	60
Garcia	ID	Cordova	2018	OR	2.13081761006289	1.16027017764819	3.91321243519098	81	151	58	174	28	53	30	121
Garcia	ID	Stefo	2008	OR	1.13414634146341	0.626042457470821	2.05463368898554	111	122	58	175	29	82	29	93
Garcia	ID	Foster	2010	OR	1.58673158855752	0.869769419155512	2.89469493716024	86	110	64	132	33	53	31	79
Garcia	ID	Abraham	2003	OR	2.41319717203456	1.26262408062856	4.61223627876363	99	115	51	163	32	67	19	96
Garcia	ID	Guzman-Suarez	1996	OR	2.64705882352941	1.34318466719662	5.2166471121571	78	114	46	146	27	51	19	95
Garcia	ID	Peppers	1990	OR	3.68275862068966	1.94068186443938	6.98863183440008	66	118	65	119	36	30	29	89
Garcia	ID	Card	2005	OR	1.23023255813953	0.654243771492597	2.31331533146077	109	140	48	201	23	86	25	115
Garcia	ID	al-Saleh	1987	OR	3.1292735042735	1.62541568477166	6.02452206921075	68	125	53	140	29	39	24	101
Garcia	ID	el-Meer	2020	OR	2.34416445623342	1.28459593732944	4.27769296024084	93	127	61	159	35	58	26	101
Garcia	ID	Herrington	1997	OR	1.35537190082645	0.71525980669605	2.56834365967742	105	104	50	159	28	77	22	82
Garcia	ID	Simental	2005	OR	0.618181818181818	0.320285007593583	1.19315219654457	127	140	45	222	17	110	28	112
Garcia	ID	Hoang	1994	OR	0.942857142857143	0.515315465089286	1.72511723800625	111	83	64	130	36	75	28	55
Garcia	ID	Hill	2020	OR	2.20095693779904	1.13766530538757	4.25802863030568	81	137	46	172	24	57	22	115
