meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_cases_exp	n_exp	n_cases_nexp	n_nexp	rob
el-Hakim	SSRI	Shaw	1993	RR	0.606921029281278	0.451465130047801	0.815906060662636	24	46	49	57	low
el-Hakim	SSRI	Cook	2012	RR	0.745762711864407	0.614078840977977	0.905685044483238	44	67	59	67	unclear
el-Hakim	SSRI	Brinson	1989	RR	0.763636363636364	0.595877448452486	0.978624878961613	28	44	55	66	high
el-Hakim	SSRI	Larson	2015	RR	0.70935960591133	0.533211129343545	0.943699451881609	24	42	58	72	low
el-Hakim	SSRI	Manheimer	2017	RR	0.933424845573095	0.731649747079518	1.19084568239243	40	62	47	68	unclear
el-Hakim	SSRI	Clair	1999	RR	0.894927536231884	0.671919676415191	1.19195094773677	39	69	36	57	high
el-Hakim	SSRI	Slyker	2013	RR	0.83008658008658	0.681489068360007	1.011085522029	52	77	48	59	low
el-Hakim	SSRI	Gutierrez Jaloma	1999	RR	1.05454545454545	0.855443336384251	1.2999880511115	58	77	40	56	unclear
el-Hakim	SSRI	Govea	2005	RR	0.830965909090909	0.68243849118389	1.01181916171434	45	64	44	52	high
el-Hakim	SSRI	el-Safi	1998	RR	0.748556026184058	0.610611925773423	0.917663250069554	36	53	49	54	low
el-Hakim	SSRI	Weimer	1997	RR	0.576597131681878	0.435894102213589	0.762717941296807	29	59	52	61	unclear
el-Hakim	SSRI	Sami	1998	RR	0.633873456790123	0.495825124883812	0.8103574003379	31	54	48	53	high
el-Hakim	SSRI	Silas	2014	RR	0.707701457032412	0.553506082699045	0.90485248119327	34	59	57	70	low
el-Hakim	SSRI	Bodnar	1989	RR	0.8125	0.668544888481822	0.987452393060889	44	64	55	65	unclear
el-Hakim	SSRI	Miles	1986	RR	1.015625	0.826874560884763	1.24746145234084	45	60	48	65	high
el-Hakim	SSRI	Her	2017	RR	0.80952380952381	0.652301075479239	1.00464160311935	42	63	42	51	low
el-Hakim	SSRI	Briggs	1990	RR	0.542803970223325	0.404242053584079	0.728860709760179	25	52	62	70	unclear
el-Hakim	SSRI	al-Nouri	2007	RR	0.9	0.747423380748931	1.08372312248028	42	56	55	66	high
el-Hakim	SSRI	Lindsey	1993	RR	1.1735918744229	0.908706891314148	1.51568993354899	41	57	38	62	low
el-Hakim	SSRI	Cuthair	2019	RR	0.549242424242424	0.401860494778855	0.750676527071176	25	55	48	58	unclear
el-Hakim	SSRI	Vaughn	2016	RR	0.651324359531047	0.485528102738643	0.873736080209728	25	47	49	60	high
el-Hakim	SSRI	Lucas	1992	RR	0.727272727272727	0.592744831825554	0.89233273988355	45	72	55	64	low
el-Hakim	SSRI	Caballero	1993	RR	0.831919191919192	0.647459096895512	1.06893168263751	29	45	55	71	unclear
el-Hakim	SSRI	el-Ameen	2015	RR	1.27919911012236	0.968899496774663	1.68887523296794	46	62	29	50	high
el-Hakim	SSRI	Osborne	1996	RR	0.586193745232647	0.444870640544168	0.772411293605611	29	57	46	53	low
el-Hakim	SSRI	Soong	1986	RR	0.775225594749795	0.586211309633322	1.02518445632017	30	53	46	63	unclear
el-Hakim	SSRI	Wu	1986	RR	1.07954545454545	0.853093735779905	1.36610824760578	38	52	44	65	high
