meta_review	factor	author	year	multiple_es	measure	value	ci_lo	ci_up	n_cases	n_controls	n_exp	n_nexp	n_cases_exp	n_cases_nexp	n_controls_exp	n_controls_nexp	mean_cases	sd_cases	mean_controls	sd_controls	amstar
siskind 2016	Age	adams	2006		OR				67	1614	215	1466	1	66	214	1400					5
tang 2017	Age	altindag	2005		OR				18	60	4	74	2	16	2	58					5
cnossen 2017	Age	alway	2016		SMD				15	70							35.2	14.88	35.91	16.91	5
tang 2017	Age	armenian	2000		OR				138	546	69	615	16	122	53	493					5
brewin 2000	Age	blanchard	1996		SMD				62	51							34.8	11.2	36.2	14.7	5
visser 2017	Age	blanchard	1997		SMD				55	47							35.4	11.5	36.7	15.1	5
brewin 2000	Age	bremner	1993		SMD				38	28							47.3	2.7	46.6	2.8	5
brewin 2000	Age	brent	1995		SMD				8	138							20.1	1.5	18.2	2	5
brewin 2000	Age	bryant	1996		SMD				11	14							30.55	14.22	38.85	16.69	5
visser 2017	Age	bryant	2000		SMD				24	89							33	12.1	29.9	12.2	5
visser 2017	Age	bryant	2013		OR				100	730	495	335	54	46	441	289					5
cnossen 2017	Age	bryant, marosszeky	2000		SMD				26	70							34.63	13.35	34.16	12.72	5
cnossen 2017	Age	caspi	2005		SMD				22	98							35	2.3	35.9	2.7	5
tang 2017	Age	chen	2012		OR				65	222	28	259	11	54	17	205					5
tang 2017	Age	chou	2007		OR	0.98	0.902	1.06474501108647	9	207											5
brewin 2000	Age	difede	1999		SMD				17	14							42	16	43	12	5
xue 2015	Age	dohrenwend	2008		OR				28	217	33	212	1	27	32	185					5
tang 2017	Age	eksi	2007		SMD	0.87			96	64							14.31		14.73		5
giannoni-pastor 2016	Age	el hamaoui	2002		SMD				14	46							18.8	8.5	25.5	9	5
visser 2017	Age	freedman	1999		SMD				12	37							28.1	10.7	28.4	9.9	5
siskind 2016	Age	galea	2002		OR	0.37	0.134589502018843	1.04166666666667	86	902	106	882	4	82	102	800					5
tang 2017	Age	gigantesco	2013		OR				39	918	370	587	20	19	350	568					5
visser 2017	Age	gil, caspi et al.	2005		SMD				17	103							33.8	3.1	31	2.3	5
visser 2017	Age	holbrook	2001		SMD				261	563							34.3	12.3	37.4	15.9	5
brewin 2000	Age	kilpatrick	1989		SMD				82	212							36.4	11.6	43.3	13.8	5
xue 2015	Age	koenen	2002		OR	1.04	1.02040816326531	1.059968	568	2140											5
tang 2017	Age	lee	2009		OR	1.8	1	3.2	76	120	105	91	48	28	57	63					5
siskind 2016	Age	livingston	1992		OR	0.1	0.00516342231631125	1.88679245283019	50	5	31	24	26	24	5	0					5
brewin 2000	Age	macklin	1998		SMD				59	50							49	2.4	50	2.9	5
brewin 2000	Age	mcfarlane	1988		SMD				11	3							39.4	6.5	32.8	8.5	5
siskind 2016	Age	miguel-tobal	2006		OR	0.07	0.0104580631667015	0.468538	34	1555	427	1162	1	33	426	1129					5
brewin 2000	Age	reich	1996		SMD				53	29							57.5	12.1	55.3	13.1	5
brewin 2000	Age	riggs	1992		SMD				44	42							31.63	8.93	31.5	12.72	5
davydow 2015	Age	rothenhausler	2002		SMD				4	58							44.5	9.9	55	11.1	5
brewin 2000	Age	schnurr	1993		SMD				10	56							39.2	1.9	40	2.1	5
brewin 2000	Age	shalev	1996		SMD				13	38							35.4	17.4	35.2	13.3	5
brewin 2000	Age	shalev	1997		SMD				35	172							27.5	10.5	29.3	10.9	5
visser 2017	Age	shalev  terrorism	2005		SMD				14	25							35.64	13.49	27.36	10.48	5
xue 2015	Age	shea	2013		SMD				30	208							34.7	9.4	33.3	9.5	5
brewin 2000	Age	speed	1989		SMD				31	31							23.3	7.7	24.6	6.4	5
brewin 2000	Age	sutker	1990		SMD				131	62							63.9	4.8	65.9	3.6	5
tang 2017	Age	tian	2014		OR	0.96	0.854	1.082	261	4343											5
brewin 2000	Age	vasterling	1997		SMD				18	23							45.6	19.2	34.8	8.4	5
parker 2016	Age	viswanath	2012		OR				49	389	75	363	10	39	65	324					5
parker 2016	Age	yang	2003		OR	0.13	0.0583771161704612	0.289497	46	384	203	227	39	7	164	220					5
tang 2017	Age	zhou	2013		OR				2028	12179	7835	6372	1013	1015	6822	5357					5
steel 2009	Cumulative trauma	basoglu	2005		OR	2.59	1.99	3.38	292	1066											8
steel 2009	Cumulative trauma	cheung	1994		RR	1.45	1.224	1.71772875816993	27	196											8
steel 2009	Cumulative trauma	de jong	2001	groups	RR	3.14	1.8	5.47755555555556	244	409	600	53	237	7	363	46					8
steel 2009	Cumulative trauma	de jong	2001	groups	RR	3.52	1.79	6.92201117318436	173	437	494	116	165	8	329	108					8
steel 2009	Cumulative trauma	de jong	2001	groups	RR	4.53	2.48	8.27455645161291	190	1010	944	256	179	11	765	245					8
steel 2009	Cumulative trauma	de jong	2001	groups	RR	10.03	5.26	19.1256463878327	104	481	347	238	97	7	250	231					8
steel 2009	Cumulative trauma	hashemian	2006		OR				6	96	51	51	6	0	45	51					8
steel 2009	Cumulative trauma	hauff	1994		OR	0.35			13	113	15	111	7	6	8	105					8
steel 2009	Cumulative trauma	johnson	2008		OR	2.67	1.88	3.79	718	943	293	1368	200	518	93	850					8
steel 2009	Cumulative trauma	obilom	2008		OR				114	164	63	215	26	88	37	127					8
steel 2009	Cumulative trauma	renner	2006		OR				38	112	77	73	32	6	45	67					8
steel 2009	Cumulative trauma	seino	2008		OR				349	823	555	617	290	59	265	558					8
steel 2009	Cumulative trauma	zlotnick	2006		OR	3.8	1.4	10.4	115	918	300	733									8
brewin 2000	Ethnic minority	acierno	1999	groups	OR	1			94	369	92	371	18	76	74	295					5
brewin 2000	Ethnic minority	acierno	1999	groups	OR	1.04			89	516	102	503	14	75	88	428					5
brewin 2000	Ethnic minority	blanchard	1996		OR	1.67			62	51	60	53	12	50	48	3					5
visser 2017	Ethnic minority	blanchard	1997		OR				55	47	12	90	9	46	3	44					5
brewin 2000	Ethnic minority	bremner	1993		OR	1.49			38	28	10	56	4	34	6	22					5
brewin 2000	Ethnic minority	brent	1995		OR	1			8	138	4	142	0	8	4	134					5
brewin 2000	Ethnic minority	breslau	1991		OR	0.83			93	301	81	313	17	76	64	237					5
brewin 2000	Ethnic minority	breslau	1998		OR	1.44			128	1234	420	942	59	69	361	873					5
visser 2017	Ethnic minority	bryant	2013		OR				100	730	112	718	13	87	99	631					5
brewin 2000	Ethnic minority	buydens	1990		OR	1.08			25	9	22	12	16	9	6	3					5
lin 2018	Ethnic minority	coffey	2006		OR				99	130	36	193	21	78	15	115					5
brewin 2000	Ethnic minority	difede	1999		OR	1.2			17	14	13	18	8	9	5	9					5
xue 2015	Ethnic minority	dohrenwend	2008		OR				38	210	154	94	30	8	124	86					5
brewin 2000	Ethnic minority	green, grace, lindy, leonard	1990		OR	2.36			60	121	36	145	17	43	19	102					5
brewin 2000	Ethnic minority	kilpatrick	1989		OR	1			82	212	81	213	22	60	59	153					5
xue 2015	Ethnic minority	koenen	2002		OR	0.87	0.57	1.34	568	2140											5
xue 2015	Ethnic minority	mayo	2013	groups	OR				835	31361	4966	27230	73	762	4893	26468					5
xue 2015	Ethnic minority	mayo	2013	groups	OR				296	8108	2689	5715	102	194	2587	5521					5
brewin 2000	Ethnic minority	norris	1992		OR	1			62	780	391	451	28	34	363	417					5
brewin 2000	Ethnic minority	riggs	1992		OR	1.94			44	42	55	31	30	14	25	17					5
xue 2015	Ethnic minority	shea	2013		OR	0.33	0.04	2.64	30	208	29	209	2	28	27	181					5
