meta_review	factor	author	year	measure	value	ci_lo	ci_up	n_controls	n_cases
al-Ishak	Yoga	Apodaca	2002	HR	1.19569442087552	0.786607117086968	1.81753395952908	61	51
al-Ishak	Yoga	Batts	2018	HR	1.4348285634839	1.22140432071292	1.68554586853566	72	58
al-Ishak	Yoga	Quintana	2000	HR	1.69516917930217	1.40734152783088	2.04186296618778	56	77
al-Ishak	Yoga	Dye	1998	HR	2.49012207671301	1.89663613437834	3.26931868719561	51	62
al-Ishak	Yoga	el-Kalil	1991	HR	3.16479582363041	2.44390231847309	4.09833589892671	58	72
al-Ishak	Yoga	Cordova	2016	HR	1.21661113196751	0.874440655600498	1.69267363879693	54	43
al-Ishak	Yoga	Long	2006	HR	3.23726535021793	2.1807553010638	4.80562259443294	59	74
al-Ishak	Yoga	el-Murad	1985	HR	1.72724857799243	1.16160691152851	2.56832808118468	64	61
al-Ishak	Yoga	Rustemeyer	2007	HR	1.51059343102854	1.14165147703495	1.99876456148684	55	44
al-Ishak	Yoga	Fleetwood	2010	HR	1.73019420796074	1.39346244597189	2.14829757767386	70	63
al-Ishak	Yoga	Willcutt	2014	HR	1.06487150598317	0.796090697871079	1.42439966612763	66	60
al-Ishak	Yoga	al-Harron	2013	HR	1.93450674903812	1.37089904222327	2.72982637438049	60	66
al-Ishak	Aerobic training	el-Sadiq	2019	HR	1.45067167944042	1.07224971718766	1.96264758833429	53	49
al-Ishak	Aerobic training	Hypio	2012	HR	0.87789056514157	0.644159395364572	1.19643033992914	61	61
al-Ishak	Aerobic training	Clanton	2018	HR	1.35889730114955	1.1239149755334	1.64300851511937	62	49
al-Ishak	Aerobic training	al-Hosseini	2019	HR	0.801551162516698	0.554290110937576	1.15911190449549	60	42
al-Ishak	Aerobic training	Millan	1997	HR	1.05101212065201	0.73961571044546	1.49351408056508	64	59
al-Ishak	Aerobic training	Saucedo	1987	HR	0.913416832622606	0.696960197725878	1.19709893454556	54	51
al-Ishak	Aerobic training	Jefferson	2012	HR	1.0822601340455	0.864004584017788	1.35564905488982	70	62
al-Ishak	Aerobic training	Martinez	2001	HR	0.997998624057509	0.762244140128905	1.30666961041149	72	57
al-Ishak	Aerobic training	Turbyne	1987	HR	1.02538889077492	0.724345810339438	1.45154753753861	56	58
al-Ishak	Aerobic training	Patterson	1986	HR	1.32383184708888	1.11334489080834	1.57411308376718	66	68
al-Ishak	Aerobic training	Powell	1989	HR	1.02832958724117	0.732718374289031	1.44320352416666	68	71
al-Ishak	Aerobic training	Chaparro	2017	HR	1.02838300624164	0.739834273460777	1.42947095783967	60	70
al-Ishak	Aerobic training	al-Morad	1987	HR	1.29304054295877	0.883724805285073	1.89193947678742	66	72
